INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_C00;INDICADORA_C01;INDICADORA_D00;V916
76;7;;1;;3;9;9,085950698877
76;7;;1;;4;2;5,2914188186709
76;7;;1;;4;3;14,8405174812873
76;7;;2;1;;1;5,6545837342717
76;7;;2;1;;2;13,6998469130715
76;7;;2;1;;3;38,2586121631761
76;7;;2;1;;4;9,085950698877
76;7;;2;1;;5;11,1856623393576
76;7;;2;1;;11;40,2865369327408
76;7;;2;5;;2;11,6817188813324
76;7;;2;7;;10;11,1525335486355
76;7;;2;;2;3;38,2586121631761
76;7;;2;;2;4;9,085950698877
76;7;;2;;2;5;9,96439402227
76;7;;2;;2;11;40,2865369327408
76;7;;2;;3;5;1,2212683170876
76;7;;2;;4;1;5,6545837342717
76;7;;2;;4;2;13,6998469130715
76;8;;1;1;;1;358,908693367995
76;8;;1;1;;2;1341,5780002262802
76;8;;1;1;;3;3123,8960000800721
76;8;;1;1;;4;1085,2451664776271
76;8;;1;1;;5;504,934650637494
76;8;;1;1;;6;83,2751284381307
76;8;;1;1;;7;84,847663504389
76;8;;1;1;;8;73,2712830146516
76;8;;1;1;;9;29,1958532847683
76;8;;1;1;;10;150,0720708776898
76;8;;1;1;;11;1039,9074254738178
76;8;;1;5;;1;404,6413979023741
76;8;;1;5;;2;1180,3420527246909
76;8;;1;5;;3;1142,4191517758055
76;8;;1;5;;4;534,4546071005872
76;8;;1;5;;5;406,4952480241563
76;8;;1;5;;6;63,0691988791007
76;8;;1;5;;7;61,4961955686637
76;8;;1;5;;8;35,1370136680921
76;8;;1;5;;9;20,4608846355787
76;8;;1;5;;11;389,1205156928672
76;8;;1;6;;1;9,8743784124182
76;8;;1;6;;2;37,5024382262489
76;8;;1;6;;3;36,5762990708351
76;8;;1;6;;4;56,9337669125044
76;8;;1;6;;5;67,7787214161805
76;8;;1;6;;7;9,2963087407783
76;8;;1;6;;8;9,0379990581777
76;8;;1;6;;9;25,652521690273
76;8;;1;6;;11;27,7160789375264
76;8;;1;7;;10;438,0661642786106
76;8;;1;8;;10;844,217468911642
76;8;;1;;2;1;18,783727151061
76;8;;1;;2;2;683,8050906943139
76;8;;1;;2;3;2205,8164525414471
76;8;;1;;2;4;721,4557740009491
76;8;;1;;2;5;292,5893283339941
76;8;;1;;2;6;37,7532913862644
76;8;;1;;2;7;48,670284384395
76;8;;1;;2;8;31,3172570709408
76;8;;1;;2;9;18,898351960345
76;8;;1;;2;11;745,8237239668927
76;8;;1;;3;2;15,1968634799902
76;8;;1;;3;3;131,0214707811615
76;8;;1;;3;4;217,3710232864922
76;8;;1;;3;5;147,5985451625444
76;8;;1;;3;6;45,5218370518663
76;8;;1;;3;7;25,7211984726952
76;8;;1;;3;8;28,5432992987566
76;8;;1;;3;9;10,2975013244233
76;8;;1;;3;11;127,8960232599436
76;8;;1;;4;1;340,124966216934
76;8;;1;;4;2;642,5760460519761
76;8;;1;;4;3;787,0580767574635
76;8;;1;;4;4;146,4183691901858
76;8;;1;;4;5;64,7467771409555
76;8;;1;;4;7;10,4561806472988
76;8;;1;;4;8;13,4107266449542
76;8;;1;;4;10;150,0720708776898
76;8;;1;;4;11;166,1876782469815
76;8;;2;1;;1;563,3329128604072
76;8;;2;1;;2;1995,4062224301171
76;8;;2;1;;3;2144,2790435439425
76;8;;2;1;;4;591,0743816219717
76;8;;2;1;;5;372,422941083607
76;8;;2;1;;6;49,9452248469933
76;8;;2;1;;7;18,2953113563427
76;8;;2;1;;8;9,0846783914295
76;8;;2;1;;10;89,2925842148941
76;8;;2;1;;11;590,6832467557743
76;8;;2;5;;1;410,6011520652418
76;8;;2;5;;2;708,819368141944
76;8;;2;5;;3;498,1334976681426
76;8;;2;5;;4;161,8072431367882
76;8;;2;5;;5;109,8173929260704
76;8;;2;5;;6;31,3667164783826
76;8;;2;5;;7;11,5234259806565
76;8;;2;5;;9;24,6714682026948
76;8;;2;5;;11;160,4791781123454
76;8;;2;6;;2;9,8484405425265
76;8;;2;6;;3;21,926443817815
76;8;;2;6;;4;90,3582054429262
76;8;;2;6;;5;47,2165075084061
76;8;;2;6;;6;10,2219862520827
76;8;;2;6;;7;6,8069892783051
76;8;;2;6;;8;9,0379990581777
76;8;;2;6;;11;9,0379990581777
76;8;;2;7;;10;588,9370062029325
76;8;;2;8;;10;806,8363912871335
76;8;;2;;2;1;44,6338029945815
76;8;;2;;2;2;1017,016952333564
76;8;;2;;2;3;1489,5402371766451
76;8;;2;;2;4;267,1657581235045
76;8;;2;;2;5;203,3384284711696
76;8;;2;;2;6;24,553442206006
76;8;;2;;2;7;18,2953113563427
76;8;;2;;2;8;9,0846783914295
76;8;;2;;2;11;329,9677385125834
76;8;;2;;3;2;122,1085462659506
76;8;;2;;3;3;358,7654789500083
76;8;;2;;3;4;302,495783127802
76;8;;2;;3;5;157,0657410373081
76;8;;2;;3;6;25,3917826409873
76;8;;2;;3;11;195,1760705087222
76;8;;2;;4;1;518,6991098658257
76;8;;2;;4;2;856,2807238306025
76;8;;2;;4;3;295,9733274172891
76;8;;2;;4;4;21,4128403706652
76;8;;2;;4;5;12,0187715751293
76;8;;2;;4;10;89,2925842148941
76;8;;2;;4;11;65,5394377344687
76;9;;1;1;;1;2146,6551733775001
76;9;;1;1;;2;11850,9583989685516
76;9;;1;1;;3;22874,3213027762185
76;9;;1;1;;4;3821,9969095495987
76;9;;1;1;;5;2250,6279734015386
76;9;;1;1;;6;333,3262747461464
76;9;;1;1;;7;317,6108862036784
76;9;;1;1;;8;116,4801767959212
76;9;;1;1;;9;64,4237048055178
76;9;;1;1;;10;583,3592970451349
76;9;;1;1;;11;7142,8029576128584
76;9;;1;5;;1;2681,4917491224427
76;9;;1;5;;2;7578,1637151298949
76;9;;1;5;;3;7887,2713710850089
76;9;;1;5;;4;1946,7186555217841
76;9;;1;5;;5;1210,5608620236881
76;9;;1;5;;6;205,7369368486847
76;9;;1;5;;7;153,9311184765572
76;9;;1;5;;8;65,7961980798805
76;9;;1;5;;9;75,4650016763612
76;9;;1;5;;11;2437,3200668666421
76;9;;1;6;;2;53,0583767968926
