INDICADORA_GEOG1;INDICADORA_A00;INDICADORA_A01;INDICADORA_B00;INDICADORA_B01;INDICADORA_C00;INDICADORA_C01;INDICADORA_C02;INDICADORA_C03;INDICADORA_C04;INDICADORA_C05;INDICADORA_C06;INDICADORA_C07;INDICADORA_C08;INDICADORA_C09;INDICADORA_C10;V884;V878;V1883
76;;1;;5;9999;;;;;;;;;;;91206,1046581000511;2018,06199370245895282451583449429700436;308239,2052988186236
76;;1;;5;;1;;;;;;;;;;60833,6070737156598;2041,12762103324425896577268081072360574;207045,6800273534709
76;;1;;5;;;2;;;;;;;;;86373,5172440483747;2054,852297099093609141847029868833181871;293643,5608467298009
76;;1;;5;;;;3;;;;;;;;28564,3684916783097;2654,787221669754487844992817708577896084;96505,3342542352086
76;;1;;5;;;;;4;;;;;;;89590,3574235120141;2032,590910967402564938339963054925653841;303316,7028923659482
76;;1;;5;;;;;;5;;;;;;82066,7429659928352;2108,142312928040571069051031322533789379;279643,0760002665106
76;;1;;5;;;;;;;6;;;;;19547,4702680767945;2946,305310821812423912780769950616811812;67506,2032553685171
76;;1;;5;;;;;;;;7;;;;29736,1667597367059;3025,769119215554930431512425423609901618;101143,9297456529456
76;;1;;5;;;;;;;;;9;;;38263,4475944596617;2150,490034558093605826322079230118181083;133410,0371670901207
76;;1;;5;;;;;;;;;;10;;24524,2422157188779;3425,09734121122358377239229749090245426;83528,2105582952175
76;;1;;5;;;;;;;;;;;8;22838,9714441006306;3258,14261714033241080975179073395964755;77204,3284697027636
76;;1;;6;9999;;;;;;;;;;;62206,3279464337353;2468,405435883290620072337715574884523328;225853,6383380429443
76;;1;;6;;1;;;;;;;;;;44834,5373451222728;2546,383559649229096865741767820728128224;163056,3448286185075
76;;1;;6;;;2;;;;;;;;;59505,2893186882451;2505,78763923737685976902769488036219075;217225,8709113762131
76;;1;;6;;;;3;;;;;;;;22792,618942663715;3205,178238150786412492191560819748516209;81907,0992748242091
76;;1;;6;;;;;4;;;;;;;61427,0628460107886;2482,483315386372053446620406012960904823;222886,284435989516
76;;1;;6;;;;;;5;;;;;;56848,7255088541337;2568,594680038704981050605697799187612143;209101,2474824198101
76;;1;;6;;;;;;;6;;;;;18543,2651274462585;3397,095099107905399411094490269534724612;66841,5088962668844
76;;1;;6;;;;;;;;7;;;;25566,0886880200839;3515,38027720392533613081644817697435563;95076,5437305119123
76;;1;;6;;;;;;;;;9;;;28140,6488110721291;2658,834308868544019770368822628905558184;106042,7736955006405
76;;1;;6;;;;;;;;;;10;;21570,5857773102937;3802,214101926872576568551181390015292133;77996,5732784134572
76;;1;;6;;;;;;;;;;;8;20319,6607847028489;3765,175970128915124259904040075266796409;74982,6764368215306
76;;1;;7;9999;;;;;;;;;;;34294,3684545568582;3504,879646136772416498270586824176970392;128750,1422046485895
76;;1;;7;;1;;;;;;;;;;25206,7669484693282;3558,892834406399665683739965223565828354;95214,0939147481903
76;;1;;7;;;2;;;;;;;;;33184,4575520759822;3547,052213892973860782232179653357266308;124979,2140048821424
